author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Айрат Зиятдинов;realtor;https://kazan.cian.ru/sale/flat/304739597/;Казань;sale;flat;9;22;2;61.3;11700000;Советский;Вербная ;1;Проспект Победы;Вербный
ID 75313127;developer;https://kazan.cian.ru/sale/flat/300720428/;Казань;sale;flat;7;23;2;57.17;11370000;Советский;;2;Горки;Притяжение ЖК
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/298758953/;Казань;sale;flat;4;9;2;46.2;5800000;Советский; Карбышева;15;Аметьево;
Унистрой;developer;https://kazan.cian.ru/sale/flat/299355387/;Казань;sale;flat;18;20;1;35.54;10030000;Приволжский;;;Аметьево;Кью на Кулагина ЖК
ID 14025853;realtor;https://kazan.cian.ru/sale/flat/304514298/;Казань;sale;flat;7;10;1;33.0;5790000;Ново-Савиновский; Четаева;31;Яшьлек;
ID 75313127;developer;https://kazan.cian.ru/sale/flat/302303044/;Казань;sale;flat;7;13;2;60.86;10330000;Советский;;;Суконная слобода;Статный
Самолет Плюс Казань Центральный;real_estate_agent;https://kazan.cian.ru/sale/flat/297078170/;Казань;sale;flat;4;5;1;23.7;3530000;Авиастроительный; Тар Урам;1А;Авиастроительная;
ID 75313127;developer;https://kazan.cian.ru/sale/flat/302301936/;Казань;sale;flat;5;13;2;56.08;10060000;Советский;;;Суконная слобода;Статный
Монолит-Казань;real_estate_agent;https://kazan.cian.ru/sale/flat/304573092/;Казань;sale;flat;1;2;2;43.4;3649000;Авиастроительный; Рихарда Зорге;2;Авиастроительная;
Держава;developer;https://kazan.cian.ru/sale/flat/287860771/;Казань;sale;flat;15;22;2;46.12;10515406;Приволжский;Экопарк Дубрава мкр;;Дубравная;Дубрава 2.0 ЖК
Монолит-Казань;real_estate_agent;https://kazan.cian.ru/sale/flat/304827498/;Казань;sale;flat;13;14;2;79.8;18600000;Ново-Савиновский;Чистопольская ;64;Козья слобода;
Суварстроит;developer;https://kazan.cian.ru/sale/flat/301481888/;Казань;sale;flat;15;19;2;37.58;8167000;Приволжский; Рауиса Гареева;;Дубравная;Батталовский
Монолит-Казань;real_estate_agent;https://kazan.cian.ru/sale/flat/304703657/;Казань;sale;flat;6;12;1;33.5;4999000;Авиастроительный;Тэцевская ;4Б;Авиастроительная;Острова (Семь Островов)
Держава;developer;https://kazan.cian.ru/sale/flat/299648334/;Казань;sale;flat;8;22;2;56.63;11112845;Приволжский;Экопарк Дубрава мкр;;Дубравная;Дубрава 2.0 ЖК
